Numero,Nombre,Descripcion,Altura,Peso,Categoria,Tipo Primario,Tipo Secundario
15,Beedrill,"Los Beedrill defienden su territorio a toda costa. No es conveniente acercarse a su colmena, por seguridad. Si se les molesta, todo un enjambre atacará ferozmente.",1.4 m,40.5 kg,Abeja Ven.,Bicho,Veneno
16,Pidgey,"Pidgey tiene un sentido de la orientación muy desarrollado. Es capaz de regresar a su nido, por lejos que se encuentre de las zonas que le resultan familiares.",0.3 m,1.8 kg,Pajarito,Normal,Volador
17,Pidgeotto,"Pidgeotto se apodera de una zona muy vasta como su territorio y la sobrevuela para controlarla. Si alguien invade su espacio vital, no tendrá ningún reparo en castigarlo con sus afiladas garras.",1.1 m,30.0 kg,Pájaro,Normal,Volador
18,Pidgeot,"El plumaje de este Pokémon es bonito e hipnótico. Muchos Entrenadores se quedan embobados ante la belleza impactante de las plumas que tiene en la cabeza; lo que les lleva a elegir a Pidgeot como su Pokémon.",2.2 m,50.5 kg,Pájaro,Normal,Volador
19,Rattata,"Rattata es cauto como él solo. Hasta cuando duerme mueve las orejas para oír todos los ruidos. No es nada delicado a la hora de elegir su hábitat. Cualquier sitio es bueno para cavar su madriguera.",0.3 m,3.8 kg,Ratón,Normal,Normal
20,Raticate,"A Raticate le crecen los incisivos firmes y fuertes. Para mantenerlos afilados roe troncos y rocas, e incluso las paredes de las casas.",0.7 m,25.5 kg,Ratón,Normal,Normal
21,Spearow,"Spearow pía con tanta fuerza que se le puede oír a 1 km de distancia. Si al agudo chillido le sigue una especie de eco, estaremos oyendo la respuesta de otros Spearow que contestan ante el aviso de peligro.",0.3 m,2.0 kg,Pajarito,Normal,Volador
22,Fearow,"A Fearow se le reconoce por tener un pescuezo y un pico largos que le permiten cazar en tierra y agua. Tiene una gran habilidad moviendo el fino pico para atrapar a sus presas.",1.2 m,38.0 kg,Pico,Normal,Volador
23,Ekans,"Ekans se enrosca para descansar. Adoptando esta posición puede responder rápidamente a cualquier amenaza que le aceche desde cualquier lugar, levantando la cabeza con una feroz mirada.",2.0 m,6.9 kg,Serpiente,Veneno,
24,Arbok,"Este Pokémon es tremendamente fuerte, puede oprimir cualquier cosa con su cuerpo y hasta es capaz de estrujar un barril de acero. Una vez que Arbok se enrosca a su víctima, no hay forma de escapar de su asfixiante abrazo.",3.5 m,65.0 kg,Cobra,Veneno,
25,Pikachu,"Cada vez que un Pikachu se encuentra con algo nuevo, le lanza una descarga eléctrica. Cuando se ve alguna baya chamuscada, es muy probable que sea obra de un Pikachu, ya que a veces no controlan la intensidad de la descarga.",0.4 m,6.0 kg,Ratón,Eléctrico,
26,Raichu,"Si las bolsas de los mofletes se le cargan demasiado, Raichu planta la cola en el suelo para liberar electricidad. Es común encontrar zonas chamuscadas cerca de la madriguera de este Pokémon.",0.7 m,21.0 kg,Ratón,Eléctrico,Psíquico
27,Sandshrew,"Sandshrew es capaz de absorber agua y no perder ni una gota, algo que le permite sobrevivir en el desierto. Este Pokémon se enrosca para defenderse de los enemigos.",0.7 m,40.0 kg,Ratón,Tierra,Acero
28,Sandslash,"Sandslash está recubierto de duras púas que son partes endurecidas de la piel. Suele mudarlas una vez al año; debajo de las viejas púas crecen unas nuevas que las sustituyen.",1.2 m,55.0 kg,Ratón,Tierra,Acero
29,Nidoran♀,"Nidoran♀ tiene púas que segregan un veneno muy potente. Se piensa que las desarrolló como protección del cuerpo tan pequeño que tiene. Cuando se enfada, libera una horrible sustancia tóxica por el cuerno.",0.4 m,7.0 kg,Pin Veneno,Veneno,
30,Nidorina,"Cuando están en familia o con sus amigos, esconden las púas para evitar accidentes. Según parece, se alteran bastante si se separan del grupo.",0.8 m,20.0 kg,Pin Veneno,Veneno,
31,Nidoqueen,"Nidoqueen tiene el cuerpo totalmente recubierto de escamas durísimas. Suele lanzar por los aires a sus rivales de los violentos golpes que les propina. Cuando se trata de defender a sus crías, alcanza su nivel máximo de fuerza.",1.3 m,60.0 kg,Taladro,Veneno,Tierra
32,Nidoran♂,"Nidoran♂ ha desarrollado músculos para mover las orejas y orientarlas en cualquier dirección. De este modo, es capaz de captar hasta el sonido más leve.",0.5 m,9.0 kg,Pin Veneno,Veneno,
33,Nidorino,"Nidorino tiene un cuerno de dureza superior a la del diamante. Si siente una presencia hostil, se le erizan las púas del lomo enseguida y carga contra el enemigo con todas sus fuerzas.",0.9 m,19.5 kg,Pin Veneno,Veneno,
34,Nidoking,"La gruesa cola de Nidoking encierra una fuerza realmente destructora. Con una vez que la agite, es capaz de tumbar una torre metálica de transmisión. Una vez que este Pokémon se desboca, no hay quien lo pare.",1.4 m,62.0 kg,Taladro,Veneno,Tierra
35,Clefairy,"Siempre que hay luna llena, salen en grupo para jugar. Al amanecer, los Clefairy, agotados, regresan a sus refugios de montaña para dormir acurrucados unos con otros.",0.6 m,7.5 kg,Hada,Hada,
36,Clefable,"Clefable se mueve dando saltitos como si fuera haciendo uso de las alas. Estos pequeños brincos le permiten caminar por el agua. De todos es sabido que le encanta darse paseos por los lagos en tranquilas noches de luna llena.",1.3 m,40.0 kg,Hada,Hada,
37,Vulpix,"Al nacer, Vulpix tiene una cola blanca que se divide en seis si recibe cariño por parte de su Entrenador. Las seis colas se le rizan de forma majestuosa.",0.6 m,9.9 kg,Zorro,Fuego,Hielo
38,Ninetales,"Ninetales emite una siniestra luz a través de los brillantes ojos rojos que tiene, para conseguir controlar del todo la mente de su rival. Dicen que este Pokémon llega a vivir mil años.",1.1 m,19.9 kg,Zorro,Fuego,Hada
39,Jigglypuff,"Jigglypuff tiene unas cuerdas vocales que ajustan sin problema la longitud de onda de su voz. Este Pokémon usa la habilidad que tiene para cantar con la longitud de onda necesaria para adormecer a su rival.",0.5 m,5.5 kg,Globo,Normal,Hada
40,Wigglytuff,"Wigglytuff tiene unos ojos enormes con forma de platillo, que siempre están cubiertos de lágrimas. Si se le metiera algo en el ojo, enseguida se le saldría solo.",1.0 m,12.0 kg,Globo,Normal,Hada
41,Zubat,"Durante el día, Zubat permanece inmóvil y a oscuras. Si este Pokémon pasara mucho tiempo expuesto al sol, correría el peligro de sufrir quemaduras.",0.8 m,7.5 kg,Murciélago,Veneno,Volador
42,Golbat,"A Golbat le encanta chuparles la sangre a los seres vivos. Este Pokémon es más activo en la oscuridad de la noche. Es al caer la noche cuando sale a revolotear y a buscar sangre fresca.",1.6 m,55.0 kg,Murciélago,Veneno,Volador
43,Oddish,"Durante el día, Oddish se entierra en el suelo para absorber nutrientes valiéndose de todo el cuerpo. Cuanto más fértil sea el suelo, mayor brillo tendrá en las hojas.",0.5 m,5.4 kg,Hierbajo,Planta,Veneno
44,Gloom,"Gloom libera un fétido olor por el pistilo de la flor. Cuando está en peligro, el hedor se intensifica. Si este Pokémon está tranquilo y no se siente amenazado, no libera el desagradable olor.",0.8 m,8.6 kg,Hierbajo,Planta,Veneno
45,Vileplume,"El polen que contienen las esporas tóxicas de Vileplume causa unos ataques de alergia muy agudos. Por eso, no es aconsejable acercarse a ninguna flor selvática, por muy bonita que sea.",1.2 m,18.6 kg,Flor,Planta,Veneno
46,Paras,"Paras lleva dos setas parásitas a cuestas llamadas tochukaso. Estas crecen alimentándose de los nutrientes de este Pokémon de tipo Bicho y Planta que les sirve de huésped. Las setas se usan como elixir de vida.",0.3 m,5.4 kg,Hongo,Bicho,Planta
47,Parasect,"Parasect es conocido por destruir en plaga grandes árboles, absorbiendo los nutrientes que tienen en la parte baja del tronco y las raíces. Cuando un árbol azotado por la plaga muere, los Parasect van a por el siguiente al instante.",1.0 m,29.5 kg,Hongo,Bicho,Planta
48,Venonat,"Dicen que durante su evolución Venonat desarrolló una fina capa de espeso pelo alrededor de todo el cuerpo para protegerse. Tiene unos ojos tan grandes que no hay presa que le pase desapercibida.",1.0 m,30.0 kg,Insecto,Bicho,Veneno
49,Venomoth,"Venomoth es nocturno, solo actúa en la oscuridad. Su alimento preferido son los pequeños insectos que se concentran cerca de los focos de luz en la oscuridad de la noche.",1.5 m,12.5 kg,Polilla Ven.,Bicho,Veneno
50,Diglett,"En la mayoría de las granjas se suelen criar Diglett por la sencilla razón de que, excaven donde excaven, dejan la tierra perfectamente labrada para sembrar. El terreno queda listo para plantar ricas verduras.",0.2 m,1.0 kg,Topo,Tierra,Acero
51,Dugtrio,"Los Dugtrio son trillizos que se originaron a partir de un solo cuerpo, por eso piensan de la misma forma. A la hora de excavar, trabajan en equipo y sin descanso.",0.7 m,66.6 kg,Topo,Tierra,Acero
52,Meowth,"Meowth retrae las afiladas uñas de sus zarpas para caminar a hurtadillas, dando sigilosos pasos para pasar inadvertido. No se sabe muy bien por qué, pero este Pokémon adora las monedas brillantes que resplandecen con la luz.",0.4 m,4.2 kg,Gato Araña,Normal,Siniestro
53,Persian,"Persian tiene seis llamativos bigotes que le dan un aspecto feroz. Además, le sirven para detectar el movimiento del aire, delator de la presencia cercana de algún Pokémon. Si se le agarra por los bigotes, se vuelve dócil.",1.1 m,33.0 kg,Gato Fino,Normal,Siniestro
54,Psyduck,"Psyduck tiene un extraño poder, que consiste en generar ondas cerebrales iguales a las que se generan cuando se está dormido. Este descubrimiento levantó una gran polémica entre eruditos.",0.8 m,19.6 kg,Pato,Agua,
55,Golduck,"Golduck alcanza una velocidad de vértigo gracias a las aletas palmípedas de las extremidades y a la forma aerodinámica de su cuerpo. Realmente, la velocidad de este Pokémon supera la de cualquier nadador.",1.7 m,76.6 kg,Pato,Agua,
56,Mankey,"Cuando Mankey empieza a temblar y a respirar con más intensidad, seguro que va a enfadarse. Aunque prever su enfado no sirve de nada porque alcanza un estado de rabia tan rápido que no hay escapatoria.",0.5 m,28.0 kg,Mono Cerdo,Lucha,
57,Primeape,"Cuando Primeape se enfada, se le acelera el ritmo cardíaco y se le fortalecen los músculos. Con todo, pierde en inteligencia.",1.0 m,32.0 kg,Mono Cerdo,Lucha,
58,Growlithe,"Growlithe tiene un sentido del olfato excepcional y una memoria sensitiva tremenda, nunca olvida una esencia. Este Pokémon saca provecho de este don para identificar las sensaciones que tienen otros seres vivos.",0.7 m,19.0 kg,Perrito,Fuego,
59,Arcanine,"Arcanine es conocido por lo veloz que es. Dicen que es capaz de correr 10 000 km en 24 horas. El fuego que arde con vigor en el interior de este Pokémon constituye su fuente de energía.",1.9 m,155.0 kg,Legendario,Fuego,
60,Poliwag,"Poliwag tiene una piel muy fina. Tanto que es posible entrever a través de la misma las vísceras en espiral que tiene. La piel, aunque fina, tiene la ventaja de ser flexible y hacer rebotar hasta los colmillos más afilados.",0.6 m,12.4 kg,Renacuajo,Agua,
61,Poliwhirl,"La piel de Poliwhirl está siempre húmeda y lubricada con un fluido viscoso. Gracias a esta película resbaladiza, puede escapar de las garras del enemigo, resbalándosele de las zarpas en pleno combate.",1.0 m,20.0 kg,Renacuajo,Agua,
62,Poliwrath,"Poliwrath tiene unos músculos fornidos y muy desarrollados, por lo que nunca se agota. Es tan fuerte e incansable que cruzar el océano a nado no le supone ningún esfuerzo.",1.3 m,54.0 kg,Renacuajo,Agua,Lucha
63,Abra,"Abra duerme 18 horas al día, pero puede detectar a cualquier enemigo que se le acerque mientras duerme. En una situación así, usa Teletransporte para protegerse.",0.9 m,19.5 kg,Psi,Psíquico,
64,Kadabra,"Kadabra emite unas ondas alfa muy particulares que provocan dolores de cabeza a los demás. Solo aquellos que tengan gran poder mental podrán optar a ser Entrenador de este Pokémon.",1.3 m,56.5 kg,Psi,Psíquico,
65,Alakazam,"El cerebro de Alakazam nunca deja de crecer y por eso al cuello le cuesta sostener el peso de la cabeza. Este Pokémon usa sus poderes psicoquinéticos para mantener en alto la cabeza.",1.2 m,48.0 kg,Psi,Psíquico,Psíquico
66,Machop,"Gracias a su portentosa musculatura, Machop no se agota por mucho esfuerzo que haga. Este Pokémon es tan fuerte que puede derrotar a cien personas adultas de una sola vez.",0.8 m,19.5 kg,Superpoder,Lucha,
67,Machoke,"Los entrenados músculos de Machoke son tan fuertes como el acero. Este Pokémon es tan fuerte que puede levantar con un solo dedo a un luchador de sumo.",1.5 m,70.5 kg,Superpoder,Lucha,
68,Machamp,"Machamp es tan fuerte que puede derribar lo que quiera. Sin embargo, cuando tiene que realizar una tarea que requiere delicadeza y destreza, se le enredan los brazos. Este Pokémon pasa a la acción sin pensar.",1.6 m,130.0 kg,Superpoder,Lucha,
69,Bellsprout,"Bellsprout tiene un cuerpo delgado y flexible que le permite inclinarse y balancearse para esquivar los ataques. Este Pokémon escupe por la boca un fluido corrosivo capaz de hacer que se derrita hasta el hierro.",0.7 m,4.0 kg,Flor,Planta,Veneno
70,Weepinbell,"Weepinbell tiene un gancho a modo de extremidad superior trasera, que usa por la noche para colgarse de una rama y echarse a dormir. Si se mueve mientras duerme, puede acabar en el suelo.",1.0 m,6.4 kg,Matamoscas,Planta,Veneno
71,Victreebel,"Victreebel tiene una enredadera que le sale de la cabeza y que agita a modo de señuelo para atraer a sus presas y así engullirlas por sorpresa cuando estas se aproximan incautas.",1.7 m,15.5 kg,Matamoscas,Planta,Veneno
72,Tentacool,"Tentacool está compuesto en su mayor parte por agua. Si se le saca del mar, se secará y se quedará acartonado. Si este Pokémon se deshidrata, hay que echarlo inmediatamente de vuelta al mar.",0.9 m,45.5 kg,Medusa,Agua,Veneno
73,Tentacruel,"Tentacruel tiene unas enormes esferas rojas en la cabeza, que brillan antes de lanzar una descarga ultrasónica a lo que le rodea. Este estallido crea unas olas tremendas a su alrededor.",1.6 m,55.0 kg,Medusa,Agua,Veneno
74,Geodude,"Cuanto más larga es la vida de Geodude, mayor es el desgaste y la erosión que sufre, y más redondeada la forma que va adquiriendo. Sin embargo, el corazón permanece siempre duro, rocoso y tosco.",0.4 m,20.3 kg,Roca,Roca,Eléctrico
75,Graveler,"Graveler crece alimentándose a base de piedras. Y, según parece, las prefiere cubiertas de musgo. Cada día se abre camino comiéndose una tonelada de rocas.",1.0 m,110.0 kg,Roca,Roca,Eléctrico
76,Golem,"Golem vive en las montañas. Si se produce un gran terremoto, estos Pokémon descienden rodando en masa por las laderas.",1.7 m,316.0 kg,Megatón,Roca,Eléctrico
77,Ponyta,"Al nacer, Ponyta es muy débil y apenas puede ponerse en pie. Con todo, se va haciendo más fuerte al tropezarse y caerse en su intento por seguir a sus progenitores.",1.0 m,30.0 kg,Caballo F.,Fuego,
78,Rapidash,"A Rapidash se le suele ver trotando sin rumbo fijo por los campos y llanos. Cuando tiene que ir a algún sitio en concreto, se le aviva el fuego de las melenas y emprende el galope llameante llegando a los 240 km/h.",1.7 m,95.0 kg,Caballo F.,Fuego,
79,Slowpoke,"Slowpoke usa la cola para atrapar a sus presas metiéndola bajo el agua en las riberas de los ríos. Con todo, es olvidadizo, se le puede pasar lo que estaba haciendo y quedarse días enteros holgazaneando en la orilla.",1.2 m,36.0 kg,Atontado,Agua,Psíquico
80,Slowbro,"Slowbro lleva en la cola un Shellder enganchado, sujeto por los dientes. Como Slowbro no puede usar la cola para pescar, se mete en el agua de mala gana en busca de sus presas.",2.0 m,120.0 kg,Ermitaño,Agua,Psíquico
81,Magnemite,"Magnemite se engancha a las líneas de tensión para nutrirse de electricidad. Cuando se producen apagones en las casas, es aconsejable revisar el automático y comprobar que no hay Pokémon de este tipo colgados de la caja de fusibles.",0.3 m,6.0 kg,Imán,Eléctrico,Acero
82,Magneton,"Magneton emite una fuerte energía magnética que causa estragos en los instrumentos mecánicos. Por ello, en las ciudades se avisa con sirenas cuando hay concentraciones de estos Pokémon.",1.0 m,60.0 kg,Imán,Eléctrico,Acero
83,Farfetch&#39;d,"Al parecer, entre los puerros que suelen llevar los Farfetch&#39;d, los hay mejores y peores. A estos Pokémon se les ha visto luchar entre ellos por los mejores puerros.",0.8 m,15.0 kg,Pato Salvaje,Normal,Volador
84,Doduo,"Las dos cabezas de Doduo duermen de forma independiente, siempre por turnos. Mientras una duerme, la otra hace de centinela por si aparecen enemigos.",1.4 m,39.2 kg,Ave Gemela,Normal,Volador
85,Dodrio,"Según parece, las cabezas no son las únicas partes del cuerpo que tiene triplicadas. Dodrio también tiene tres corazones y tres pares de pulmones. Con esta constitución, puede correr largas distancias sin cansarse.",1.8 m,85.2 kg,Ave Triple,Normal,Volador
86,Seel,"Seel busca a sus presas en aguas heladas, bajo las capas de hielo. Cuando necesita respirar, abre un agujerito en el hielo con la afilada protuberancia que tiene encima de la cabeza.",1.1 m,90.0 kg,León Marino,Agua,
87,Dewgong,"A Dewgong le encanta dormitar sobre la frialdad del hielo. Antiguamente, algún que otro marino lo confundió con una sirena al verlo dormido sobre un glaciar.",1.7 m,120.0 kg,León Marino,Agua,Hielo
88,Grimer,"El elástico cuerpo de lodo de Grimer le permite colarse por cualquier orificio, sea del tamaño que sea. Este Pokémon entra en los bajantes de las cloacas para beberse el agua sucia.",0.7 m,42.0 kg,Lodo,Veneno,Siniestro
89,Muk,"Muk emana por todo el cuerpo un fluido maloliente que obliga a taparse la nariz. Con solo una gota de la sustancia que exuda este Pokémon, se podría contaminar un estanque.",1.0 m,52.0 kg,Lodo,Veneno,Siniestro
90,Shellder,"Por la noche, este Pokémon usa la ancha lengua que tiene para hacer un agujero en el fondo del mar y echarse a dormir. Mientras duerme, Shellder cierra la concha, pero deja la lengua por fuera.",0.3 m,4.0 kg,Bivalvo,Agua,
91,Cloyster,"Cloyster es capaz de nadar por el mar. Su técnica consiste en tragar agua y expulsarla por el conducto que tiene en la parte trasera. Este mismo sistema es el que usa para lanzar los pinchos que tiene alrededor de la concha.",1.5 m,132.5 kg,Bivalvo,Agua,Hielo
92,Gastly,"Gastly está compuesto en gran medida de materia gaseosa. Cuando hay viento, el aire arrastra parte de esta materia y el Pokémon mengua. Suelen agruparse bajo los aleros de las casas para resguardarse del viento.",1.3 m,0.1 kg,Gas,Fantasma,Veneno
93,Haunter,"Haunter es un Pokémon peligroso. Si se ve alguno flotando en la oscuridad y haciendo señas, conviene no acercarse. Este Pokémon intentará robarle la energía a su presa a base de lametazos.",1.6 m,0.1 kg,Gas,Fantasma,Veneno
94,Gengar,"Si alguien ve que su sombra le adelanta de repente en una noche oscura, es muy probable que lo que esté viendo no sea su sombra, sino a un Gengar haciéndose pasar por la misma.",1.4 m,40.5 kg,Sombra,Fantasma,Veneno
95,Onix,"Onix tiene un imán en el cerebro, que actúa como una brújula para no perder la orientación cuando está cavando túneles. A medida que crece, se le redondea y suaviza el cuerpo.",8.8 m,210.0 kg,Serp. Roca,Roca,Tierra
96,Drowzee,"Si a alguien le pica la nariz mientras duerme, seguro que es porque tiene a uno de estos Pokémon cerca de la almohada intentando sacarle los sueños por la nariz para comérselos.",1.0 m,32.4 kg,Hipnosis,Psíquico,
97,Hypno,"Hypno lleva un péndulo en la mano. El balanceo y el brillo que tiene sumen al rival en un estado de hipnosis profundo. Mientras busca a su presa, saca brillo al péndulo.",1.6 m,75.6 kg,Hipnosis,Psíquico,
98,Krabby,"Krabby vive en la playa, enterrado en agujeros en la arena. Cuando en las playas de arena fina escasea la comida, es común ver a estos Pokémon echando un pulso panza contra panza en defensa de su territorio.",0.4 m,6.5 kg,Cangrejo,Agua,
99,Kingler,"Kingler tiene una pinza enorme y descomunal que usa agitándola en el aire para comunicarse con otros. Lo malo es que, al pesarle tanto, se cansa enseguida.",1.3 m,60.0 kg,Tenaza,Agua,
100,Voltorb,"Voltorb fue visto por primera vez en una empresa encargada de comercializar Poké Balls. La conexión que existe entre aquella primera vez que se le vio y el hecho de que se parece mucho a una Poké Ball sigue siendo un misterio.",0.5 m,10.4 kg,Bola,Eléctrico,
101,Electrode,"Los Electrode se alimentan de la electricidad de la atmósfera. En días de tormenta con rayos, es fácil verlos explotando por todos lados tras haber consumido demasiada electricidad.",1.2 m,66.6 kg,Bola,Eléctrico,
102,Exeggcute,"Este Pokémon está compuesto de seis huevos que forman una tupida piña que va girando. Cuando se empiezan a resquebrajar las cáscaras, no hay duda de que Exeggcute está a punto de evolucionar.",0.4 m,2.5 kg,Huevo,Planta,Psíquico
103,Exeggutor,"Exeggutor es originario del trópico. Cuando se expone a un sol intenso, le empiezan a crecer las cabezas. Hay quien dice que, cuando las cabezas caen al suelo, se unen para formar un Exeggcute.",10.9 m,415.6 kg,Coco,Planta,Dragón
104,Cubone,"A Cubone le ahoga la pena porque no volverá a ver jamás a su madre. La luna le recuerda a veces a ella, y se pone a llorar. Los churretes que tiene en el cráneo que lleva puesto son debidos a las lágrimas que derrama.",0.4 m,6.5 kg,Solitario,Tierra,
105,Marowak,"Marowak es la forma evolucionada de Cubone. Es más fuerte porque ha superado la pena por la pérdida de su madre. El ánimo de este Pokémon, ya curtido y fortalecido, no es muy fácil de alterar.",1.0 m,34.0 kg,Apilahueso,Tierra,Fantasma
106,Hitmonlee,"Hitmonlee tiene la facilidad de encoger y estirar las patas. Con extremidades tan flexibles, propina unas patadas demoledoras. Tras la lucha, se masajea las piernas y relaja los músculos para descansar.",1.5 m,49.8 kg,Patada,Lucha,
107,Hitmonchan,"Dicen que Hitmonchan tiene el mismo ímpetu que un boxeador entrenándose para un campeonato mundial. Este Pokémon tiene un espíritu indomable que nunca se doblega ante la adversidad.",1.4 m,50.2 kg,Puñetazo,Lucha,
108,Lickitung,"Cada vez que Lickitung se encuentra con algo que no conoce, le da un lametazo. Es la forma que tiene de memorizar las cosas, por la textura y el sabor. No soporta los sabores ácidos.",1.2 m,65.5 kg,Lametazo,Normal,
109,Koffing,"Si Koffing se pone nervioso, aumenta el nivel de toxicidad de los gases que tiene y los expulsa por todo el cuerpo. También suele hincharse mucho hasta llegar a explotar.",0.6 m,1.0 kg,Gas Venenoso,Veneno,
110,Weezing,"A Weezing le encantan los gases que emanan de los desperdicios que quedan en la cocina. Este Pokémon busca casas sucias y descuidadas para crear su hogar. De noche, cuando los habitantes de la casa duermen, va a por la basura.",1.2 m,9.5 kg,Gas Venenoso,Veneno,
111,Rhyhorn,"Rhyhorn corre en línea recta arrasando todo lo que encuentra en su camino. Aun estrellándose de cabeza contra un bloque de acero, no se vería afectado; a lo sumo, notaría algo de dolor al día siguiente.",1.0 m,115.0 kg,Clavos,Tierra,Roca
112,Rhydon,"Rhydon tiene un cuerno capaz de horadar hasta un diamante en bruto y con una sacudida de la cola puede derribar un edificio. La piel de este Pokémon es muy fuerte; ni los disparos de un cañón le arañarían.",1.9 m,120.0 kg,Taladro,Tierra,Roca
113,Chansey,"Chansey pone a diario huevos con un valor nutritivo altísimo. Están tan ricos que hasta quien no tenga hambre se los comerá en un abrir y cerrar de ojos.",1.1 m,34.6 kg,Huevo,Normal,
114,Tangela,"A Tangela se le desprenden los tentáculos con facilidad en cuanto se los agarras. Y no solo no le duele, sino que le resulta muy útil para escapar rápido. Además, al día siguiente le crecen otros.",1.0 m,35.0 kg,Enredadera,Planta,
115,Kangaskhan,"No es recomendable molestar ni intentar atrapar a crías de Kangaskhan mientras estén jugando, ya que seguro que su madre anda cerca y reaccionará con enfado y violencia.",2.2 m,100.0 kg,Padres,Normal,Normal
116,Horsea,"Horsea come insectos pequeños y el musgo de las rocas. Si las corrientes del océano cobran fuerza, este Pokémon se anclará con la cola a rocas o corales para evitar que las aguas lo arrastren.",0.4 m,8.0 kg,Dragón,Agua,
117,Seadra,"Seadra se echa a dormir tras abrirse un hueco entre las ramas de los corales. Los pescadores de coral suelen pincharse con las púas venenosas de estos Pokémon si no los ven.",1.2 m,25.0 kg,Dragón,Agua,
118,Goldeen,"Goldeen es un bello Pokémon que mueve con elegancia las aletas en el agua. Con todo, no hay que bajar la guardia, en cualquier momento puede embestir con el cuerno.",0.6 m,15.0 kg,Pez Color,Agua,
119,Seaking,"En otoño, se ven ejemplares de Seaking macho danzando en las riberas de los ríos para cortejar a las hembras. En esta época, la coloración de este Pokémon alcanza sus niveles máximos de belleza.",1.3 m,39.0 kg,Pez Color,Agua,
120,Staryu,"Staryu posee un órgano central, conocido como su núcleo, que brilla con una luz roja. A finales de verano, pueden verse en la playa los núcleos de estos Pokémon brillando como las estrellas del cielo.",0.8 m,34.5 kg,Estrellada,Agua,
121,Starmie,"La parte central de Starmie, el núcleo brillante, resplandece con siete colores distintos. Debido a su naturaleza luminosa, a este Pokémon se le ha dado el apelativo de la Gema del Mar.",1.1 m,80.0 kg,Misterioso,Agua,Psíquico
122,Mr. Mime,"Mr. Mime es un experto en pantomima. Con sus gestos y movimientos es capaz de convencer a sus espectadores de que algo existe, cuando en realidad no es así. Pero, cuando el público se lo cree, las ilusiones se hacen realidad.",1.3 m,54.5 kg,Barrera,Psíquico,Hada
